Dataset,DRCD
oldpeak_vs_num,1
oldpeak_vs_sex,0
oldpeak_vs_cp,1
oldpeak_vs_fbs,0
oldpeak_vs_restecg,0
oldpeak_vs_exang,1
oldpeak_vs_slope,1
trestbps_vs_num,0
trestbps_vs_sex,0
trestbps_vs_cp,0
trestbps_vs_fbs,1
trestbps_vs_restecg,1
trestbps_vs_exang,0
trestbps_vs_slope,0
chol_vs_num,0
chol_vs_sex,2
chol_vs_cp,0
chol_vs_fbs,0
chol_vs_restecg,1
chol_vs_exang,0
chol_vs_slope,0
thalach_vs_num,1
thalach_vs_sex,0
thalach_vs_cp,1
thalach_vs_fbs,0
thalach_vs_restecg,2
thalach_vs_exang,1
thalach_vs_slope,1
age_vs_num,1
age_vs_sex,0
age_vs_cp,1
age_vs_fbs,1
age_vs_restecg,1
age_vs_exang,0
age_vs_slope,1
